energy_price,energy_price_predicted_1,energy_price_predicted_2,energy_price_predicted_3
47.85,45.24,77.97,58.0
47.85,45.24,77.97,58.0
47.85,45.24,77.97,58.0
47.85,45.24,77.97,58.0
39.18,55.86,71.27,13.76
39.18,55.86,71.27,13.76
39.18,55.86,71.27,13.76
39.18,55.86,71.27,13.76
31.469999999999995,61.81000000000001,64.39,3.24
31.469999999999995,61.81000000000001,64.39,3.24
31.469999999999995,61.81000000000001,64.39,3.24
31.469999999999995,61.81000000000001,64.39,3.24
28.12,73.12000000000002,42.93999999999999,0.9599999999999999
28.12,73.12000000000002,42.93999999999999,0.9599999999999999
28.12,73.12000000000002,42.93999999999999,0.9599999999999999
28.12,73.12000000000002,42.93999999999999,0.9599999999999999
34.17,74.86,39.75,0.66
34.17,74.86,39.75,0.66
34.17,74.86,39.75,0.66
34.17,74.86,39.75,0.66
38.67,82.08,29.92,0.65
38.67,82.08,29.92,0.65
38.67,82.08,29.92,0.65
38.67,82.08,29.92,0.65
45.24,77.97,21.5,2.74
45.24,77.97,21.5,2.74
45.24,77.97,21.5,2.74
45.24,77.97,21.5,2.74
55.86,71.27,16.7,28.030000000000005
55.86,71.27,16.7,28.030000000000005
55.86,71.27,16.7,28.030000000000005
55.86,71.27,16.7,28.030000000000005
61.81000000000001,64.39,31.71,89.81
61.81000000000001,64.39,31.71,89.81
61.81000000000001,64.39,31.71,89.81
61.81000000000001,64.39,31.71,89.81
73.12000000000002,42.93999999999999,60.06000000000001,100.0
73.12000000000002,42.93999999999999,60.06000000000001,100.0
73.12000000000002,42.93999999999999,60.06000000000001,100.0
73.12000000000002,42.93999999999999,60.06000000000001,100.0
74.86,39.75,78.01,102.11
74.86,39.75,78.01,102.11
74.86,39.75,78.01,102.11
74.86,39.75,78.01,102.11
82.08,29.92,82.11,96.29
82.08,29.92,82.11,96.29
82.08,29.92,82.11,96.29
82.08,29.92,82.11,96.29
77.97,21.5,58.0,90.36
77.97,21.5,58.0,90.36
77.97,21.5,58.0,90.36
77.97,21.5,58.0,90.36
71.27,16.7,13.76,88.62000000000002
71.27,16.7,13.76,88.62000000000002
71.27,16.7,13.76,88.62000000000002
71.27,16.7,13.76,88.62000000000002
64.39,31.71,3.24,80.54
64.39,31.71,3.24,80.54
