month,hour,minutes,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
11,8,15,2,0,0,0,0,0.0,0,0,0,0.0
11,8,30,2,0,0,0,0,0.0,0,0,0,0.0
11,8,45,2,0,0,0,0,0.0,0,0,0,0.0
11,9,0,2,0,0,0,0,0.0,0,0,0,0.0
11,9,15,2,0,0,0,0,0.0,0,0,0,0.0
11,9,30,2,0,0,0,0,0.0,0,0,0,0.0
11,9,45,2,0,0,0,0,0.0,0,0,0,0.0
11,10,0,2,0,0,0,0,0.0,0,0,0,0.0
11,10,15,2,0,0,0,0,0.0,0,0,0,0.0
11,10,30,2,0,0,0,0,0.0,0,0,0,0.0
11,10,45,2,0,0,0,0,0.0,0,0,0,0.0
11,11,0,2,0,0,0,0,0.0,0,0,0,0.0
11,11,15,2,0,0,0,0,0.0,0,0,0,0.0
11,11,30,2,0,0,0,0,0.0,0,0,0,0.0
11,11,45,2,0,0,0,0,0.0,0,0,0,0.0
11,12,0,2,0,0,0,0,0.0,0,0,0,0.0
11,12,15,2,0,0,0,0,0.0,0,0,0,0.0
11,12,30,2,0,0,0,0,0.0,0,0,0,0.0
11,12,45,2,0,0,0,0,0.0,0,0,0,0.0
11,13,0,2,0,0,0,0,0.0,0,0,0,0.0
11,13,15,2,0,0,0,0,0.0,0,0,0,0.0
11,13,30,2,0,0,0,0,0.0,0,0,0,0.0
11,13,45,2,0,0,0,0,0.0,0,0,0,0.0
11,14,0,2,0,0,0,0,0.0,0,0,0,0.0
11,14,15,2,0,0,0,0,0.0,0,0,0,0.0
11,14,30,2,0,0,0,0,0.0,0,0,0,0.0
11,14,45,2,0,0,0,0,0.0,0,0,0,0.0
11,15,0,2,0,0,0,0,0.0,0,0,0,0.0
11,15,15,2,0,0,0,0,0.0,0,0,0,0.0
11,15,30,2,0,0,0,0,0.0,0,0,0,0.0
11,15,45,2,0,0,0,0,0.0,0,0,0,0.0
11,16,0,2,0,0,0,0,0.0,0,0,0,0.0
11,16,15,2,0,0,0,0,0.0,0,0,0,0.0
11,16,30,2,0,0,0,0,0.0,0,0,0,0.0
11,16,45,2,0,0,0,0,0.0,0,0,0,0.0
11,17,0,2,0,0,0,0,0.0,0,0,0,0.0
11,17,15,2,0,0,0,0,0.0,0,0,0,0.0
11,17,30,2,0,0,0,0,0.0,0,0,0,0.0
11,17,45,2,0,0,0,0,0.0,0,0,0,0.0
11,18,0,2,0,0,0,0,0.0,0,0,0,0.0
11,18,15,2,0,0,0,0,0.0,0,0,0,0.0
11,18,30,2,0,0,0,0,0.0,0,0,0,0.0
11,18,45,2,0,0,0,0,0.0,0,0,0,0.0
11,19,0,2,0,0,0,0,0.0,0,0,0,0.0
11,19,15,2,0,0,0,0,0.0,0,0,0,0.0
11,19,30,2,0,0,0,0,0.0,0,0,0,0.0
11,19,45,2,0,0,0,0,0.0,0,0,0,0.0
11,20,0,2,0,0,0,0,0.0,0,0,0,0.0
11,20,15,2,0,0,0,0,0.0,0,0,0,0.0
11,20,30,2,0,0,0,0,0.0,0,0,0,0.0
11,20,45,2,0,0,0,0,0.0,0,0,0,0.0
11,21,0,2,0,0,0,0,0.0,0,0,0,0.0
11,21,15,2,0,0,0,0,0.0,0,0,0,0.0
11,21,30,2,0,0,0,0,0.0,0,0,0,0.0
11,21,45,2,0,0,0,0,0.0,0,0,0,0.0
11,22,0,2,0,0,0,0,0.0,0,0,0,0.0
11,22,15,2,0,0,0,0,0.0,0,0,0,0.0
11,22,30,2,0,0,0,0,0.0,0,0,0,0.0
11,22,45,2,0,0,0,0,0.0,0,0,0,0.0
11,23,0,2,0,0,0,0,0.0,0,0,0,0.0
11,23,15,2,0,0,0,0,0.0,0,0,0,0.0
11,23,30,2,0,0,0,0,0.0,0,0,0,0.0
11,23,45,2,0,0,0,0,0.0,0,0,0,0.0
11,0,0,3,0,0,0,0,0.0,0,0,0,0.0
11,0,15,3,0,0,0,0,0.0,0,0,0,0.0
11,0,30,3,0,0,0,0,0.0,0,0,0,0.0
11,0,45,3,0,0,0,0,0.0,0,0,0,0.0
11,1,0,3,0,0,0,0,0.0,0,0,0,0.0
11,1,15,3,0,0,0,0,0.0,0,0,0,0.0
11,1,30,3,0,0,0,0,0.0,0,0,0,0.0
11,1,45,3,0,0,0,0,0.0,0,0,0,0.0
11,2,0,3,0,0,0,0,0.0,0,0,0,0.0
11,2,15,3,0,0,0,0,0.0,0,0,0,0.0
11,2,30,3,0,0,0,0,0.0,0,0,0,0.0
11,2,45,3,0,0,0,0,0.0,0,0,0,0.0
11,3,0,3,0,0,0,0,0.0,0,0,0,0.0
11,3,15,3,0,0,0,0,0.0,0,0,0,0.0
11,3,30,3,0,0,0,0,0.0,0,0,0,0.0
11,3,45,3,0,0,0,0,0.0,0,0,0,0.0
11,4,0,3,0,0,0,0,0.0,0,0,0,0.0
11,4,15,3,0,0,0,0,0.0,0,0,0,0.0
11,4,30,3,0,0,0,0,0.0,0,0,0,0.0
11,4,45,3,0,0,0,0,0.0,0,0,0,0.0
11,5,0,3,0,0,0,0,0.0,0,0,0,0.0
11,5,15,3,0,0,0,0,0.0,0,0,0,0.0
11,5,30,3,0,0,0,0,0.0,0,0,0,0.0
11,5,45,3,0,0,0,0,0.0,0,0,0,0.0
11,6,0,3,0,0,0,0,0.0,0,0,0,0.0
11,6,15,3,0,0,0,0,0.0,0,0,0,0.0
11,6,30,3,0,0,0,0,0.0,0,0,0,0.0
11,6,45,3,0,0,0,0,0.0,0,0,0,0.0
11,7,0,3,0,0,0,0,0.0,0,0,0,0.0
11,7,15,3,0,0,0,0,0.0,0,0,0,0.0
11,7,30,3,0,0,0,0,0.0,0,0,0,0.0
11,7,45,3,0,0,0,0,0.0,0,0,0,0.0
11,8,0,3,0,0,0,0,0.0,0,0,0,0.0
11,8,15,3,0,0,0,0,0.0,0,0,0,0.0
11,8,30,3,0,0,0,0,0.0,0,0,0,0.0
11,8,45,3,0,0,0,0,0.0,0,0,0,0.0
11,9,0,3,0,0,0,0,0.0,0,0,0,0.0
11,9,15,3,0,0,0,0,0.0,0,0,0,0.0
11,9,30,3,0,0,0,0,0.0,0,0,0,0.0
11,9,45,3,0,0,0,0,0.0,0,0,0,0.0
11,10,0,3,0,0,0,0,0.0,0,0,0,0.0
11,10,15,3,0,0,0,0,0.0,0,0,0,0.0
11,10,30,3,0,0,0,0,0.0,0,0,0,0.0
11,10,45,3,0,0,0,0,0.0,0,0,0,0.0
11,11,0,3,0,0,0,0,0.0,0,0,0,0.0
11,11,15,3,0,0,0,0,0.0,0,0,0,0.0
11,11,30,3,0,0,0,0,0.0,0,0,0,0.0
11,11,45,3,0,0,0,0,0.0,0,0,0,0.0
11,12,0,3,0,0,0,0,0.0,0,0,0,0.0
11,12,15,3,0,0,0,0,0.0,0,0,0,0.0
11,12,30,3,0,0,0,0,0.0,0,0,0,0.0
11,12,45,3,0,0,0,0,0.0,0,0,0,0.0
11,13,0,3,0,0,0,0,0.0,0,0,0,0.0
11,13,15,3,0,0,0,0,0.0,0,0,0,0.0
11,13,30,3,0,0,0,0,0.0,0,0,0,0.0
11,13,45,3,0,0,0,0,0.0,0,0,0,0.0
11,14,0,3,0,0,0,0,0.0,0,0,0,0.0
11,14,15,3,0,0,0,0,0.0,0,0,0,0.0
11,14,30,3,0,0,0,0,0.0,0,0,0,0.0
11,14,45,3,0,0,0,0,0.0,0,0,0,0.0
11,15,0,3,0,0,0,0,0.0,0,0,0,0.0
11,15,15,3,0,0,0,0,0.0,0,0,0,0.0
11,15,30,3,0,0,0,0,0.0,0,0,0,0.0
11,15,45,3,0,0,0,0,0.0,0,0,0,0.0
11,16,0,3,0,0,0,0,0.0,0,0,0,0.0
11,16,15,3,0,0,0,0,0.0,0,0,0,0.0
11,16,30,3,0,0,0,0,0.0,0,0,0,0.0
11,16,45,3,0,0,0,0,0.0,0,0,0,0.0
11,17,0,3,0,0,0,0,0.0,0,0,0,0.0
11,17,15,3,0,0,0,0,0.0,0,0,0,0.0
11,17,30,3,0,0,0,0,0.0,0,0,0,0.0
11,17,45,3,0,0,0,0,0.0,0,0,0,0.0
11,18,0,3,0,0,0,0,0.0,0,0,0,0.0
11,18,15,3,0,0,0,0,0.0,0,0,0,0.0
11,18,30,3,0,0,0,0,0.0,0,0,0,0.0
11,18,45,3,0,0,0,0,0.0,0,0,0,0.0
11,19,0,3,0,0,0,0,0.0,0,0,0,0.0
11,19,15,3,0,0,0,0,0.0,0,0,0,0.0
11,19,30,3,0,0,0,0,0.0,0,0,0,0.0
11,19,45,3,0,0,0,0,0.0,0,0,0,0.0
11,20,0,3,0,0,0,0,0.0,0,0,0,0.0
11,20,15,3,0,0,0,0,0.0,0,0,0,0.0
11,20,30,3,0,0,0,0,0.0,0,0,0,0.0
11,20,45,3,0,0,0,0,0.0,0,0,0,0.0
11,21,0,3,0,0,0,0,0.0,0,0,0,0.0
11,21,15,3,0,0,0,0,0.0,0,0,0,0.0
11,21,30,3,0,0,0,0,0.0,0,0,0,0.0
11,21,45,3,0,0,0,0,0.0,0,0,0,0.0
11,22,0,3,0,0,0,0,0.0,0,0,0,0.0
11,22,15,3,0,0,0,0,0.0,0,0,0,0.0
11,22,30,3,0,0,0,0,0.0,0,0,0,0.0
11,22,45,3,0,0,0,0,0.0,0,0,0,0.0
11,23,0,3,0,0,0,0,0.0,0,0,0,0.0
11,23,15,3,0,0,0,0,0.0,0,0,0,0.0
11,23,30,3,0,0,0,0,0.0,0,0,0,0.0
11,23,45,3,0,0,0,0,0.0,0,0,0,0.0
11,0,0,4,0,0,0,0,0.0,0,0,0,0.0
11,0,15,4,0,0,0,0,0.0,0,0,0,0.0
11,0,30,4,0,0,0,0,0.0,0,0,0,0.0
11,0,45,4,0,0,0,0,0.0,0,0,0,0.0
11,1,0,4,0,0,0,0,0.0,0,0,0,0.0
11,1,15,4,0,0,0,0,0.0,0,0,0,0.0
11,1,30,4,0,0,0,0,0.0,0,0,0,0.0
11,1,45,4,0,0,0,0,0.0,0,0,0,0.0
11,2,0,4,0,0,0,0,0.0,0,0,0,0.0
11,2,15,4,0,0,0,0,0.0,0,0,0,0.0
11,2,30,4,0,0,0,0,0.0,0,0,0,0.0
11,2,45,4,0,0,0,0,0.0,0,0,0,0.0
11,3,0,4,0,0,0,0,0.0,0,0,0,0.0
11,3,15,4,0,0,0,0,0.0,0,0,0,0.0
11,3,30,4,0,0,0,0,0.0,0,0,0,0.0
11,3,45,4,0,0,0,0,0.0,0,0,0,0.0
11,4,0,4,0,0,0,0,0.0,0,0,0,0.0
11,4,15,4,0,0,0,0,0.0,0,0,0,0.0
11,4,30,4,0,0,0,0,0.0,0,0,0,0.0
11,4,45,4,0,0,0,0,0.0,0,0,0,0.0
11,5,0,4,0,0,0,0,0.0,0,0,0,0.0
11,5,15,4,0,0,0,0,0.0,0,0,0,0.0
11,5,30,4,0,0,0,0,0.0,0,0,0,0.0
11,5,45,4,0,0,0,0,0.0,0,0,0,0.0
11,6,0,4,0,0,0,0,0.0,0,0,0,0.0
11,6,15,4,0,0,0,0,0.0,0,0,0,0.0
11,6,30,4,0,0,0,0,0.0,0,0,0,0.0
11,6,45,4,0,0,0,0,0.0,0,0,0,0.0
11,7,0,4,0,0,0,0,0.0,0,0,0,0.0
11,7,15,4,0,0,0,0,0.0,0,0,0,0.0
11,7,30,4,0,0,0,0,0.0,0,0,0,0.0
11,7,45,4,0,0,0,0,0.0,0,0,0,0.0
11,8,0,4,0,0,0,0,0.0,0,0,0,0.0
11,8,15,4,0,0,0,0,0.0,0,0,0,0.0
11,8,30,4,0,0,0,0,0.0,0,0,0,0.0
11,8,45,4,0,0,0,0,0.0,0,0,0,0.0
11,9,0,4,0,0,0,0,0.0,0,0,0,0.0
11,9,15,4,0,0,0,0,0.0,0,0,0,0.0
11,9,30,4,0,0,0,0,0.0,0,0,0,0.0
11,9,45,4,0,0,0,0,0.0,0,0,0,0.0
11,10,0,4,0,0,0,0,0.0,0,0,0,0.0
11,10,15,4,0,0,0,0,0.0,0,0,0,0.0
11,10,30,4,0,0,0,0,0.0,0,0,0,0.0
11,10,45,4,0,0,0,0,0.0,0,0,0,0.0
11,11,0,4,0,0,0,0,0.0,0,0,0,0.0
11,11,15,4,0,0,0,0,0.0,0,0,0,0.0
11,11,30,4,0,0,0,0,0.0,0,0,0,0.0
11,11,45,4,0,0,0,0,0.0,0,0,0,0.0
11,12,0,4,0,0,0,0,0.0,0,0,0,0.0
11,12,15,4,0,0,0,0,0.0,0,0,0,0.0
